label,x,y,z,buried
1 1,0,14.1,0,0
1 2,0,13.8,0,0
1 3,0,13.5,0,0
1 4,0,13.2,0,0
1 5,0,12.9,0,0
1 6,0,12.6,0,0
1 7,0,12.3,0,0
1 8,0,12,0,0
1 9,0,11.7,0,0
1 10,0,11.4,0,0
1 11,0,11.1,0,0
1 12,0,10.8,0,0
1 13,0,10.5,0,0
1 14,0,10.2,0,0
1 15,0,9.9,0,0
1 16,0,9.6,0,0
1 17,0,9.3,0,0
1 18,0,9,0,0
1 19,0,8.7,0,0
1 20,0,8.4,0,0
1 21,0,8.1,0,0
1 22,0,7.8,0,0
1 23,0,7.5,0,0
1 24,0,7.2,0,0
1 25,0,6.9,0,0
1 26,0,6.6,0,0
1 27,0,6.3,0,0
1 28,0,6,0,0
1 29,0,5.7,0,0
1 30,0,5.4,0,0
1 31,0,5.1,0,0
1 32,0,4.8,0,0
1 33,0,4.5,0,0
1 34,0,4.2,0,0
1 35,0,3.9,0,0
1 36,0,3.6,0,0
1 37,0,3.3,0,0
1 38,0,3,0,0
1 39,0,2.7,0,0
1 40,0,2.4,0,0
1 41,0,2.1,0,0
1 42,0,1.8,0,0
1 43,0,1.5,0,0
1 44,0,1.2,0,0
1 45,0,0.9,0,0
1 46,0,0.6,0,0
1 47,0,0.3,0,0
1 48,0,0,0,0
2 1,1,14.1,0,0
2 2,1,13.8,0,0
2 3,1,13.5,0,0
2 4,1,13.2,0,0
2 5,1,12.9,0,0
2 6,1,12.6,0,0
2 7,1,12.3,0,0
2 8,1,12,0,0
2 9,1,11.7,0,0
2 10,1,11.4,0,0
2 11,1,11.1,0,0
2 12,1,10.8,0,0
2 13,1,10.5,0,0
2 14,1,10.2,0,0
2 15,1,9.9,0,0
2 16,1,9.6,0,0
2 17,1,9.3,0,0
2 18,1,9,0,0
2 19,1,8.7,0,0
2 20,1,8.4,0,0
2 21,1,8.1,0,0
2 22,1,7.8,0,0
2 23,1,7.5,0,0
2 24,1,7.2,0,0
2 25,1,6.9,0,0
2 26,1,6.6,0,0
2 27,1,6.3,0,0
2 28,1,6,0,0
2 29,1,5.7,0,0
2 30,1,5.4,0,0
2 31,1,5.1,0,0
2 32,1,4.8,0,0
2 33,1,4.5,0,0
2 34,1,4.2,0,0
2 35,1,3.9,0,0
2 36,1,3.6,0,0
2 37,1,3.3,0,0
2 38,1,3,0,0
2 39,1,2.7,0,0
2 40,1,2.4,0,0
2 41,1,2.1,0,0
2 42,1,1.8,0,0
2 43,1,1.5,0,0
2 44,1,1.2,0,0
2 45,1,0.9,0,0
2 46,1,0.6,0,0
2 47,1,0.3,0,0
2 48,1,0,0,0
3 1,2,14.1,0,0
3 2,2,13.8,0,0
3 3,2,13.5,0,0
3 4,2,13.2,0,0
3 5,2,12.9,0,0
3 6,2,12.6,0,0
3 7,2,12.3,0,0
3 8,2,12,0,0
3 9,2,11.7,0,0
3 10,2,11.4,0,0
3 11,2,11.1,0,0
3 12,2,10.8,0,0
3 13,2,10.5,0,0
3 14,2,10.2,0,0
3 15,2,9.9,0,0
3 16,2,9.6,0,0
3 17,2,9.3,0,0
3 18,2,9,0,0
3 19,2,8.7,0,0
3 20,2,8.4,0,0
3 21,2,8.1,0,0
3 22,2,7.8,0,0
3 23,2,7.5,0,0
3 24,2,7.2,0,0
3 25,2,6.9,0,0
3 26,2,6.6,0,0
3 27,2,6.3,0,0
3 28,2,6,0,0
3 29,2,5.7,0,0
3 30,2,5.4,0,0
3 31,2,5.1,0,0
3 32,2,4.8,0,0
3 33,2,4.5,0,0
3 34,2,4.2,0,0
3 35,2,3.9,0,0
3 36,2,3.6,0,0
3 37,2,3.3,0,0
3 38,2,3,0,0
3 39,2,2.7,0,0
3 40,2,2.4,0,0
3 41,2,2.1,0,0
3 42,2,1.8,0,0
3 43,2,1.5,0,0
3 44,2,1.2,0,0
3 45,2,0.9,0,0
3 46,2,0.6,0,0
3 47,2,0.3,0,0
3 48,2,0,0,0
4 1,3,14.1,0,0
4 2,3,13.8,0,0
4 3,3,13.5,0,0
4 4,3,13.2,0,0
4 5,3,12.9,0,0
4 6,3,12.6,0,0
4 7,3,12.3,0,0
4 8,3,12,0,0
4 9,3,11.7,0,0
4 10,3,11.4,0,0
4 11,3,11.1,0,0
4 12,3,10.8,0,0
4 13,3,10.5,0,0
4 14,3,10.2,0,0
4 15,3,9.9,0,0
4 16,3,9.6,0,0
4 17,3,9.3,0,0
4 18,3,9,0,0
4 19,3,8.7,0,0
4 20,3,8.4,0,0
4 21,3,8.1,0,0
4 22,3,7.8,0,0
4 23,3,7.5,0,0
4 24,3,7.2,0,0
4 25,3,6.9,0,0
4 26,3,6.6,0,0
4 27,3,6.3,0,0
4 28,3,6,0,0
4 29,3,5.7,0,0
4 30,3,5.4,0,0
4 31,3,5.1,0,0
4 32,3,4.8,0,0
4 33,3,4.5,0,0
4 34,3,4.2,0,0
4 35,3,3.9,0,0
4 36,3,3.6,0,0
4 37,3,3.3,0,0
4 38,3,3,0,0
4 39,3,2.7,0,0
4 40,3,2.4,0,0
4 41,3,2.1,0,0
4 42,3,1.8,0,0
4 43,3,1.5,0,0
4 44,3,1.2,0,0
4 45,3,0.9,0,0
4 46,3,0.6,0,0
4 47,3,0.3,0,0
4 48,3,0,0,0
