338
1       9       6       4       1       -1.82132        -5.49535
2       15      12      4       1       -0.08105        -3.25650
3       27      24      4       1       -0.00972        -3.22743
4       30      27      4       1       -0.00617        -7.37075
5       36      33      4       1       -0.00393        -15.93360
6       10      7       4       1       -0.74042        -3.44550
7       16      13      4       1       -0.05639        -2.19523
8       48      45      23      20      -0.00755        -6.94914
9       48      45      17      14      -0.00334        -6.68746
10      10      7       5       2       -1.78621        -5.27728
11      16      13      5       2       -0.06991        -1.87540
12      19      16      5       2       -0.03322        -2.22431
13      31      28      5       2       -0.00608        -8.24302
14      37      34      5       2       -0.00372        -29.17769
15      11      8       5       2       -0.74854        -3.19835
16      17      14      5       2       -0.05171        -1.97716
17      12      9       5       2       -0.37798        -2.89305
18      15      12      5       2       -0.10419        -3.51819
19      30      27      5       2       -0.00663        -7.34167
20      11      8       6       3       -2.23485        -7.41436
21      17      14      6       3       -0.06802        -1.61371
22      23      20      6       3       -0.02310        -3.67810
23      26      23      6       3       -0.01525        -4.81206
24      32      29      6       3       -0.00639        -8.63555
25      12      9       6       3       -0.82197        -3.95433
26      30      27      6       3       -0.00746        -10.13296
27      13      10      6       3       -0.39942        -2.57322
28      16      13      6       3       -0.09588        -3.53272
29      31      28      6       3       -0.00687        -10.22019
30      12      9       7       4       -2.65403        -8.91177
31      15      12      7       4       -0.23442        -4.66669
32      24      21      7       4       -0.02334        -4.20147
33      27      24      7       4       -0.01334        -7.41436
34      13      10      7       4       -0.88464        -4.65215
35      16      13      7       4       -0.13548        -3.93979
36      14      11      7       4       -0.39165        -3.47457
37      17      14      7       4       -0.09092        -1.03220
38      20      17      7       4       -0.04440        -2.06439
39      32      29      7       4       -0.00692        -6.17863
40      38      35      7       4       -0.00406        -7.95226
41      13      10      8       5       -2.88964        -6.45485
42      16      13      8       5       -0.22714        -7.15268
43      14      11      8       5       -0.93781        -4.02701
44      17      14      8       5       -0.13756        -3.60541
45      15      12      8       5       -0.45732        -3.77987
46      21      18      8       5       -0.04844        -1.11942
47      24      21      8       5       -0.02825        -4.71030
48      27      24      8       5       -0.01550        -6.57116
49      30      27      8       5       -0.00954        -9.10076
50      14      11      9       6       -3.30450        -10.93255
51      17      14      9       6       -0.24559        -5.23367
52      26      23      9       6       -0.02391        -13.91283
53      32      29      9       6       -0.00924        -2.63137
54      15      12      9       6       -1.21858        -7.18175
55      18      15      9       6       -0.13129        -4.56492
56      21      18      9       6       -0.06366        -2.52961
57      24      21      9       6       -0.03528        -3.95433
58      27      24      9       6       -0.01917        -6.19317
59      30      27      9       6       -0.01119        -6.26586
60      39      36      9       6       -0.00453        -8.22849
61      16      13      9       6       -0.47812        -5.81518
62      22      19      9       6       -0.05173        -3.12566
63      25      22      9       6       -0.02817        -3.67810
64      31      28      9       6       -0.01005        -6.01872
65      15      12      10      7       -3.49729        -9.47875
66      18      15      10      7       -0.21379        -5.36451
67      30      27      10      7       -0.01296        -8.60647
68      36      33      10      7       -0.00734        -22.24308
69      42      39      10      7       -0.00321        -19.04473
70      16      13      10      7       -1.09319        -6.87646
71      19      16      10      7       -0.14172        -2.79129
72      22      19      10      7       -0.06693        -1.35203
73      17      14      10      7       -0.47432        -6.86192
74      23      20      10      7       -0.05301        -0.90135
75      26      23      10      7       -0.02935        -3.19835
76      32      29      10      7       -0.01066        -3.19835
77      35      32      10      7       -0.00788        -19.01565
78      38      35      10      7       -0.00602        -7.45797
79      16      13      11      8       -3.45701        -9.76951
80      19      16      11      8       -0.24278        -7.31259
81      31      28      11      8       -0.01425        -17.02395
82      37      34      11      8       -0.00759        -16.98034
83      17      14      11      8       -1.20631        -7.35621
84      23      20      11      8       -0.07290        -2.82036
85      26      23      11      8       -0.03764        -2.96574
86      18      15      11      8       -0.42636        -5.96056
87      24      21      11      8       -0.05875        -2.31154
88      27      24      11      8       -0.02861        -2.95121
89      30      27      11      8       -0.01595        -3.56180
90      17      14      12      9       -3.09120        -8.88269
91      20      17      12      9       -0.25992        -4.08517
92      23      20      12      9       -0.09350        -2.26792
93      26      23      12      9       -0.04478        -3.37281
94      32      29      12      9       -0.01436        -3.66357
95      38      35      12      9       -0.00737        -4.59400
96      18      15      12      9       -0.83615        -5.33543
97      24      21      12      9       -0.07309        -2.73314
98      27      24      12      9       -0.03376        -2.89305
99      30      27      12      9       -0.01803        -4.71030
100     39      36      12      9       -0.00649        -10.11842
101     19      16      12      9       -0.39887        -4.12878
