x,z,resistivity
9.529343333333335,-12.92252,135.40912
16.84082666666667,-0.8769833333333333,96.21721
17.078483333333335,-0.6768466666666666,95.51799
7.268586666666668,-3.6635066666666667,115.10862
34.45362,-3.9598366666666664,186.54476
35.90669333333333,-12.770116666666667,148.6769
2.7553400000000003,-2.2521266666666664,91.0059
28.632350000000002,-0.7169333333333334,140.79
7.65608,-3.72776,117.74999
22.38061,-7.4403733333333335,162.24906
1.98339,-0.6995766666666666,68.239
7.863613333333333,-0.7593900000000001,80.44445
36.74944333333333,-0.7779433333333333,172.07076
33.98408333333333,-4.0034566666666676,189.27496
6.618026666666666,-0.7546166666666667,82.45894
3.2131433333333335,-4.86067,109.15607
1.7421066666666665,-12.630746666666667,114.6149
41.06061666666667,-1.3019633333333334,145.81412
40.74111,-1.6671033333333334,148.96955
1.9075166666666667,-4.4249,106.69931
35.56653,-1.2766166666666667,180.59094
13.559676666666666,-7.121456666666667,145.83682
2.68722,-4.437180000000001,106.72165
33.728703333333335,-0.7527066666666666,194.6956
30.069193333333335,-8.256976666666667,175.49713
19.843616666666666,-0.5496599999999999,126.54585
19.952166666666667,-0.81594,127.2563
33.18477333333333,-7.8066666666666675,174.64829
7.902360000000001,-1.1051733333333333,85.65844
12.734789999999998,-0.8142466666666666,84.51626
3.2135433333333334,-2.36126,92.27455
14.047073333333332,-6.745546666666666,144.28887
14.982846666666667,-3.1491866666666666,114.75488
14.78562,-0.8462833333333334,90.5955
1.7208433333333335,-2.167066666666667,96.19107
21.211996666666668,-0.8364033333333333,130.55364
39.850276666666666,-1.860006666666667,156.0392
39.90262,-2.32733,155.01924
21.51067666666667,-0.8261266666666667,130.76835
28.58944666666667,-1.0373066666666666,143.51367
16.083099999999998,-3.1754933333333333,117.45335
17.03433,-3.2009933333333334,121.32725
1.1929666666666667,-4.916353333333333,108.30147
33.94747666666667,-7.850186666666667,172.50206
22.260716666666667,-8.07586,161.74241
9.460193333333333,-3.58376,122.83893
14.71564,-6.776329999999999,144.37966
18.149559999999997,-3.2417433333333334,128.68055
2.310626666666667,-2.574733333333333,96.91357
10.717039999999999,-0.7849499999999999,97.34548
12.921790000000001,-3.2773033333333337,116.70738
19.10249333333333,-3.268606666666667,134.69349
16.542983333333336,-0.6805333333333334,94.10069
2.2495733333333336,-0.8252499999999999,67.2365
37.134413333333335,-1.6923599999999999,172.7441
15.16754,-7.180186666666667,146.37339
19.665536666666668,-1.0562733333333332,125.67269
29.520863333333335,-7.794816666666667,177.1066
33.69415,-4.928393333333333,186.2444
37.11191333333333,-1.2955033333333332,172.00085
38.87882,-0.7785433333333334,161.95391
36.398936666666664,-3.7626333333333335,176.72803
35.58821666666666,-1.6630733333333332,181.67286
13.294253333333335,-0.8229633333333334,86.62019
34.08912,-1.6406500000000002,193.15728
32.67883666666667,-8.253706666666666,173.39868
6.9226133333333335,-3.986806666666667,116.36307
13.548960000000001,-0.63924,86.35602
14.556693333333333,-3.8184533333333337,122.95453
31.474139999999995,-4.878546666666666,188.24238
1.0202166666666665,-9.021266666666667,111.9537
32.58355,-1.6088966666666666,195.35606
29.26424,-4.798583333333333,180.3502
32.56034666666667,-1.2356166666666668,195.27402
27.08935,-4.714530000000001,169.24062
31.128396666666664,-1.5851233333333334,183.40576
24.942089999999997,-4.628473333333333,161.55114
22.818429999999996,-4.541103333333333,156.93686
34.41537333333333,-8.376946666666667,168.00576
20.715643333333333,-4.451366666666666,151.04172
8.644446666666667,-0.7694233333333335,86.58489
18.626636666666666,-4.40819,141.75511
16.56726,-4.324773333333334,132.81842
14.534403333333335,-4.25662,128.55823
12.529096666666668,-4.103573333333333,128.12862
10.501813333333333,-3.98615,128.12676
1.8992233333333333,-9.516543333333333,114.23198
29.65453666666666,-1.57036,162.15678
9.469196666666667,-3.9862766666666665,127.61289
27.486986666666667,-1.5486033333333333,140.79317
22.184340000000002,-0.6891466666666667,129.78229
26.05398666666667,-1.4961533333333332,134.54247
24.61364,-1.47481,130.69659
20.25082,-0.82462,128.96779
22.468926666666665,-1.4255066666666665,134.75627
21.04531333333333,-1.3903166666666664,134.44871
19.66605,-1.3696733333333333,127.53466
15.04712,-0.64385,90.1285
16.585103333333333,-3.8711800000000003,127.84348
34.070993333333334,-1.2558,193.29874
11.857776666666666,-1.0786366666666667,87.8675
18.076116666666667,-1.1828966666666665,106.10537
31.376626666666667,-8.288203333333334,174.8732
36.75077,-1.1294633333333333,172.97047
18.38722,-1.1919166666666667,110.55305
40.859519999999996,-2.2113866666666664,147.46992
21.199343333333335,-12.087553333333334,152.3649
40.87287666666666,-0.8714033333333333,147.27202
12.520056666666667,-3.615266666666667,121.859
6.133483333333333,-1.5989266666666666,89.71993
