     464   a_wgt =    0.001  b_wgt =    0.020
  153        21   22    6    7   -0.96147479E-02
  154        22   23    6    7   -0.14310653E-01
  155        23   24    6    7   -0.22212876E-01
  156        24   25    6    7   -0.29052289E-01
  157        25   26    6    7   -0.33417549E-01
  158        26   27    6    7   -0.39730150E-01
  159        27   28    6    7   -0.39401896E-01
  160        28   29    6    7   -0.38215064E-01
  161        29   30    6    7   -0.25423035E-01
  162        30   31    6    7   -0.15220594E-01
  163        31   32    6    7   -0.22664662E-02
  164        32    1    6    7   -0.90086550E+00
  165         9   10    7    8   -0.51589565E+01
  166        10   11    7    8   -0.12530379E+01
  167        11   12    7    8   -0.43148801E+00
  168        12   13    7    8   -0.19921094E+00
  169        13   14    7    8   -0.11694693E+00
  170        14   15    7    8   -0.74602865E-01
  171        15   16    7    8   -0.52705780E-01
  172        16   17    7    8   -0.11513312E+00
  173        17   18    7    8    0.43666931E-02
  174        18   19    7    8    0.29807561E-02
  175        19   20    7    8   -0.29725451E-02
  176        20   21    7    8   -0.77533093E-02
  177        21   22    7    8   -0.13843365E-01
  178        22   23    7    8   -0.20605056E-01
  179        23   24    7    8   -0.27239004E-01
  180        24   25    7    8   -0.31423692E-01
  181        25   26    7    8   -0.34197986E-01
  182        26   27    7    8   -0.33405524E-01
  183        27   28    7    8   -0.34398500E-01
  184        28   29    7    8   -0.31064462E-01
  185        29   30    7    8   -0.20023288E-01
  186        30   31    7    8   -0.10603929E-01
  187        31   32    7    8   -0.33930379E-02
  188        32    1    7    8   -0.60351932E+00
  189        10   11    8    9   -0.52107902E+01
  190        11   12    8    9   -0.11503519E+01
  191        12   13    8    9   -0.40786856E+00
  192        13   14    8    9   -0.19539838E+00
  193        14   15    8    9   -0.11965743E+00
  194        15   16    8    9   -0.78178152E-01
  195        16   17    8    9   -0.15836105E+00
  196        17   18    8    9    0.44264728E-02
  197        18   19    8    9    0.81576023E-03
  198        19   20    8    9   -0.51007355E-02
  199        20   21    8    9   -0.92868824E-02
  200        21   22    8    9   -0.20660613E-01
  201        22   23    8    9   -0.27608342E-01
  202        23   24    8    9   -0.32608733E-01
  203        24   25    8    9   -0.35498556E-01
  204        25   26    8    9   -0.30920763E-01
  205        26   27    8    9   -0.30704636E-01
  206        27   28    8    9   -0.27222276E-01
  207        28   29    8    9   -0.23699144E-01
  208        29   30    8    9   -0.15963994E-01
  209        30   31    8    9   -0.78449184E-02
  210        31   32    8    9   -0.16960914E-02
  211        32    1    8    9   -0.41412175E+00
  212        11   12    9   10   -0.51012707E+01
  213        12   13    9   10   -0.10602363E+01
  214        13   14    9   10   -0.39398351E+00
  215        14   15    9   10   -0.20596549E+00
  216        15   16    9   10   -0.11836368E+00
  217        16   17    9   10   -0.21464290E+00
  218        17   18    9   10    0.40788902E-02
  219        18   19    9   10   -0.21293974E-02
  220        19   20    9   10   -0.72974260E-02
  221        20   21    9   10   -0.13886897E-01
  222        21   22    9   10   -0.22997703E-01
  223        22   23    9   10   -0.30272793E-01
  224        23   24    9   10   -0.33633526E-01
  225        24   25    9   10   -0.32320905E-01
  226        25   26    9   10   -0.25017200E-01
  227        26   27    9   10   -0.22927133E-01
  228        27   28    9   10   -0.18871980E-01
  229        28   29    9   10   -0.16172836E-01
  230        29   30    9   10   -0.11035667E-01
  231        30   31    9   10   -0.55387220E-02
  232        31   32    9   10   -0.33543538E-03
  233        32    1    9   10   -0.30743194E+00
  234        12   13   10   11   -0.49625092E+01
  235        13   14   10   11   -0.10999629E+01
  236        14   15   10   11   -0.41927299E+00
  237        15   16   10   11   -0.19440910E+00
  238        16   17   10   11   -0.31528443E+00
  239        17   18   10   11   -0.30116129E-02
  240        18   19   10   11   -0.51840120E-02
  241        19   20   10   11   -0.12380674E-01
  242        20   21   10   11   -0.15423999E-01
  243        21   22   10   11   -0.23196610E-01
  244        22   23   10   11   -0.22928784E-01
  245        23   24   10   11   -0.25004186E-01
  246        24   25   10   11   -0.21576716E-01
  247        25   26   10   11   -0.15446673E-01
  248        26   27   10   11   -0.11929151E-01
  249        27   28   10   11   -0.96510090E-02
  250        28   29   10   11   -0.84532499E-02
  251        29   30   10   11   -0.84596444E-02
  252        30   31   10   11   -0.54146387E-02
  253        31   32   10   11   -0.17001323E-02
  254        32    1   10   11   -0.19322611E+00
  255        13   14   11   12   -0.50969667E+01
  256        14   15   11   12   -0.11787491E+01
