label,x,y,z,buried
1 1,0.00E+00,-3.18E-02,4.40E-01,1
1 2,1.59E-02,-2.75E-02,4.40E-01,1
1 3,2.75E-02,-1.59E-02,4.40E-01,1
1 4,3.18E-02,0.00E+00,4.40E-01,1
1 5,2.75E-02,1.59E-02,4.40E-01,1
1 6,1.59E-02,2.75E-02,4.40E-01,1
1 7,0.00E+00,3.18E-02,4.40E-01,1
1 8,-1.59E-02,2.75E-02,4.40E-01,1
1 9,-2.75E-02,1.59E-02,4.40E-01,1
1 10,-3.18E-02,0.00E+00,4.40E-01,1
1 11,-2.75E-02,-1.59E-02,4.40E-01,1
1 12,-1.59E-02,-2.75E-02,4.40E-01,1
1 13,0.00E+00,-3.18E-02,3.85E-01,1
1 14,1.59E-02,-2.75E-02,3.85E-01,1
1 15,2.75E-02,-1.59E-02,3.85E-01,1
1 16,3.18E-02,0.00E+00,3.85E-01,1
1 17,2.75E-02,1.59E-02,3.85E-01,1
1 18,1.59E-02,2.75E-02,3.85E-01,1
1 19,0.00E+00,3.18E-02,3.85E-01,1
1 20,-1.59E-02,2.75E-02,3.85E-01,1
1 21,-2.75E-02,1.59E-02,3.85E-01,1
1 22,-3.18E-02,0.00E+00,3.85E-01,1
1 23,-2.75E-02,-1.59E-02,3.85E-01,1
1 24,-1.59E-02,-2.75E-02,3.85E-01,1
1 25,0.00E+00,-3.18E-02,3.30E-01,1
1 26,1.59E-02,-2.75E-02,3.30E-01,1
1 27,2.75E-02,-1.59E-02,3.30E-01,1
1 28,3.18E-02,0.00E+00,3.30E-01,1
1 29,2.75E-02,1.59E-02,3.30E-01,1
1 30,1.59E-02,2.75E-02,3.30E-01,1
1 31,0.00E+00,3.18E-02,3.30E-01,1
1 32,-1.59E-02,2.75E-02,3.30E-01,1
1 33,-2.75E-02,1.59E-02,3.30E-01,1
1 34,-3.18E-02,0.00E+00,3.30E-01,1
1 35,-2.75E-02,-1.59E-02,3.30E-01,1
1 36,-1.59E-02,-2.75E-02,3.30E-01,1
1 37,0.00E+00,-3.18E-02,2.75E-01,1
1 38,1.59E-02,-2.75E-02,2.75E-01,1
1 39,2.75E-02,-1.59E-02,2.75E-01,1
1 40,3.18E-02,0.00E+00,2.75E-01,1
1 41,2.75E-02,1.59E-02,2.75E-01,1
1 42,1.59E-02,2.75E-02,2.75E-01,1
1 43,0.00E+00,3.18E-02,2.75E-01,1
1 44,-1.59E-02,2.75E-02,2.75E-01,1
1 45,-2.75E-02,1.59E-02,2.75E-01,1
1 46,-3.18E-02,0.00E+00,2.75E-01,1
1 47,-2.75E-02,-1.59E-02,2.75E-01,1
1 48,-1.59E-02,-2.75E-02,2.75E-01,1
1 49,0.00E+00,-3.18E-02,2.20E-01,1
1 50,1.59E-02,-2.75E-02,2.20E-01,1
1 51,2.75E-02,-1.59E-02,2.20E-01,1
1 52,3.18E-02,0.00E+00,2.20E-01,1
1 53,2.75E-02,1.59E-02,2.20E-01,1
1 54,1.59E-02,2.75E-02,2.20E-01,1
1 55,0.00E+00,3.18E-02,2.20E-01,1
1 56,-1.59E-02,2.75E-02,2.20E-01,1
1 57,-2.75E-02,1.59E-02,2.20E-01,1
1 58,-3.18E-02,0.00E+00,2.20E-01,1
1 59,-2.75E-02,-1.59E-02,2.20E-01,1
1 60,-1.59E-02,-2.75E-02,2.20E-01,1
1 61,0.00E+00,-3.18E-02,1.65E-01,1
1 62,1.59E-02,-2.75E-02,1.65E-01,1
1 63,2.75E-02,-1.59E-02,1.65E-01,1
1 64,3.18E-02,0.00E+00,1.65E-01,1
1 65,2.75E-02,1.59E-02,1.65E-01,1
1 66,1.59E-02,2.75E-02,1.65E-01,1
1 67,0.00E+00,3.18E-02,1.65E-01,1
1 68,-1.59E-02,2.75E-02,1.65E-01,1
1 69,-2.75E-02,1.59E-02,1.65E-01,1
1 70,-3.18E-02,0.00E+00,1.65E-01,1
1 71,-2.75E-02,-1.59E-02,1.65E-01,1
1 72,-1.59E-02,-2.75E-02,1.65E-01,1
1 73,0.00E+00,-3.18E-02,1.10E-01,1
1 74,1.59E-02,-2.75E-02,1.10E-01,1
1 75,2.75E-02,-1.59E-02,1.10E-01,1
1 76,3.18E-02,0.00E+00,1.10E-01,1
1 77,2.75E-02,1.59E-02,1.10E-01,1
1 78,1.59E-02,2.75E-02,1.10E-01,1
1 79,0.00E+00,3.18E-02,1.10E-01,1
1 80,-1.59E-02,2.75E-02,1.10E-01,1
1 81,-2.75E-02,1.59E-02,1.10E-01,1
1 82,-3.18E-02,0.00E+00,1.10E-01,1
1 83,-2.75E-02,-1.59E-02,1.10E-01,1
1 84,-1.59E-02,-2.75E-02,1.10E-01,1
1 85,0.00E+00,-3.18E-02,5.50E-02,1
1 86,1.59E-02,-2.75E-02,5.50E-02,1
1 87,2.75E-02,-1.59E-02,5.50E-02,1
1 88,3.18E-02,0.00E+00,5.50E-02,1
1 89,2.75E-02,1.59E-02,5.50E-02,1
1 90,1.59E-02,2.75E-02,5.50E-02,1
1 91,0.00E+00,3.18E-02,5.50E-02,1
1 92,-1.59E-02,2.75E-02,5.50E-02,1
1 93,-2.75E-02,1.59E-02,5.50E-02,1
1 94,-3.18E-02,0.00E+00,5.50E-02,1
1 95,-2.75E-02,-1.59E-02,5.50E-02,1
1 96,-1.59E-02,-2.75E-02,5.50E-02,1
